File Name,Model Name,Frame,Dust Pixel Ratio,PM30,PM10,PM4,PM2.5,PM1
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,0,0.000709876142166279,2.797179166395962,2.0068801602225617,1.1542822683025564,0.9572342806753461,0.904019515251589
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,1,0.0006255010763804117,2.7971222132265567,2.006823088928064,1.1542368323296308,0.9571945484568675,0.9039815380344788
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,2,0.0006594022605644822,2.797145096525881,2.006846019689046,1.154255088117314,0.9572105125244997,0.90399679695748
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,3,0.0007574783155211696,2.797211297862977,2.0069123583326185,1.1543079020729081,0.9572566965387789,0.904040940989816
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,4,0.0008051789837119021,2.7972434958140053,2.006944623064583,1.1543335888827289,0.95727915878343,0.9040624110605687
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,5,0.0008738901266835846,2.7972898758355114,2.006991099281689,1.154370589833219,0.9573115148606552,0.9040933379460202
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,6,0.0010131173873914824,2.797383854236489,2.0070852726008317,1.1544455637131101,0.9573770769777227,0.9041560041360649
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,7,0.001070192014729535,2.7974223796099422,2.0071238778787635,1.1544762983999317,0.9574039534197362,0.9041816934258297
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,8,0.0010520543581173743,2.797410136691729,2.007111609567831,1.154466531271846,0.9573954123972375,0.9041735296665886
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,9,0.0010957300662994384,2.797439617794752,2.007141151816845,1.154490050640702,0.9574159792882204,0.9041931881028413
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,10,0.0011356848257559316,2.7974665872573854,2.0071681772161414,1.1545115662786696,0.9574347939844484,0.9042111717400727
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,11,0.0011698412306514786,2.7974896428306897,2.0071912806084127,1.1545299595027056,0.9574508782355138,0.9042265455379161
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,12,0.001200503659950249,2.7975103399704664,2.0072120206755906,1.154546471220883,0.9574653171734705,0.9042403466973435
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,13,0.0011925455544150485,2.79750496824923,2.0072066378130065,1.1545421857810525,0.957461569701574,0.9042367647540421
Video_multiple views.mp4,DeepLabV3-MobileNet-V3-Large,14,0.0011702985920533232,2.797489951549636,2.007191589967665,1.1545302057918205,0.9574510936069979,0.9042267513962832
